#,rtl-power-fftw,output,,,
#,Acquisition,start:,2025-03-22,20:03:18,UTC
#,Acquisition,end:,2025-03-22,20:03:28,UTC
#,,,,,
frequency,power,,,,
443246090,-47.5395,,,,
443250000,-47.6499,,,,
443253910,-47.6426,,,,
443257810,-47.6467,,,,
443261720,-47.5866,,,,
443265620,-47.558,,,,
443269530,-47.0888,,,,
443273440,-45.2945,,,,
443277340,-45.6839,,,,
443281250,-45.8698,,,,
443285160,-45.6986,,,,
443289060,-45.6168,,,,
443292970,-46.5259,,,,
443296880,-46.6306,,,,
443300780,-46.6875,,,,
443304690,-46.8524,,,,
443308590,-46.8862,,,,
443312500,-46.8905,,,,
443316410,-46.6716,,,,
443320310,-46.4063,,,,
443324220,-45.7,,,,
443328120,-46.7575,,,,
443332030,-46.8085,,,,
443335940,-42.8193,,,,
443339840,-43.0891,,,,
443343750,-44.1121,,,,
443347660,-44.5855,,,,
443351560,-44.9151,,,,
443355470,-45.2891,,,,
443359380,-45.4833,,,,
443363280,-45.6169,,,,
443367190,-45.6406,,,,
443371090,-45.6755,,,,
443375000,-45.5019,,,,
443378910,-45.2825,,,,
443382810,-44.8769,,,,
443386720,-43.7291,,,,
443390620,-45.2981,,,,
443394530,-47.2823,,,,
443398440,-44.8739,,,,
443402340,-45.6895,,,,
443406250,-46.4108,,,,
443410160,-46.7902,,,,
443414060,-47.0989,,,,
443417970,-47.2204,,,,
443421880,-47.2441,,,,
443425780,-47.3625,,,,
443429690,-47.4523,,,,
443433590,-47.4553,,,,
443437500,-47.4903,,,,
443441410,-47.3655,,,,
443445310,-47.1323,,,,
443449220,-46.314,,,,
443453120,-47.5731,,,,
443457030,-48.1827,,,,
443460940,-47.1774,,,,
443464840,-47.4798,,,,
443468750,-47.799,,,,
443472660,-47.7144,,,,
443476560,-47.9806,,,,
443480470,-48.2079,,,,
443484380,-47.5053,,,,
443488280,-47.7833,,,,
443492190,-47.9578,,,,
443496090,-47.9794,,,,
